date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:03:15	471909/471909	---MCZ	200	added ('OK')	application/javascript	etag:%221e801c3-73365-5cab340b4232f-gzip%22	http://polygons.space/neptune/source/assets/plugins/apexcharts/apexcharts.min.js	/Users/dp/websites/Neptune/polygons.space/neptune/source/assets/plugins/apexcharts/apexcharts.min.js	(from http://polygons.space/neptune/source/templates/admin1/)
19:03:57	2445870/2445870	---M--	200	added ('OK')	image/jpeg	etag:%221e80157-25522e-5cab33dd44a97%22	http://polygons.space/neptune/source/assets/images/avatars/avatar1.jpeg	/Users/dp/websites/Neptune/polygons.space/neptune/source/assets/images/avatars/avatar1.jpg	(from http://polygons.space/neptune/source/templates/admin1/)
19:03:57	51/51	---MCZ	200	added ('OK')	text/plain	date:Sat,%2026%20Nov%202022%2000:03:15%20GMT	https://fonts.googleapis.com/robots.txt		(from http://polygons.space/neptune/source/templates/admin1/)
19:03:57	30447/30447	---M-Z	200	added ('OK')	text/css	etag:%221e80181-76ef-5cab33f4173da-gzip%22	http://polygons.space/neptune/source/assets/plugins/summernote/summernote-lite.min.css	/Users/dp/websites/Neptune/polygons.space/neptune/source/assets/plugins/summernote/summernote-lite.min.css	(from http://polygons.space/neptune/source/templates/admin1/mailbox.html)
19:03:58	4281/4281	---M--	200	added ('OK')	image/jpeg	etag:%221e80153-10b9-5cab33d99d59e%22	http://polygons.space/neptune/source/assets/images/avatars/avatar3.jpg	/Users/dp/websites/Neptune/polygons.space/neptune/source/assets/images/avatars/avatar3.jpg	(from http://polygons.space/neptune/source/templates/admin1/mailbox.html)
19:04:01	37003/37003	---M--	200	added ('OK')	image/png	etag:%221e80151-908b-5cab33d9418db%22	http://polygons.space/neptune/source/assets/images/avatars/avatar4.png	/Users/dp/websites/Neptune/polygons.space/neptune/source/assets/images/avatars/avatar4.png	(from http://polygons.space/neptune/source/templates/admin1/mailbox.html)
19:04:07	252/252	---M-Z	200	added ('OK')	application/javascript	etag:%221e801dd-fc-5cab3410df779-gzip%22	http://polygons.space/neptune/source/assets/js/pages/mailbox.js	/Users/dp/websites/Neptune/polygons.space/neptune/source/assets/js/pages/mailbox.js	(from http://polygons.space/neptune/source/templates/admin1/mailbox.html)
19:04:09	1039/1039	---M-Z	200	added ('OK')	text/css	etag:%221e8024d-40f-5cab342e446ef-gzip%22	http://polygons.space/neptune/source/assets/plugins/highlight/styles/github-gist.css	/Users/dp/websites/Neptune/polygons.space/neptune/source/assets/plugins/highlight/styles/github-gist.css	(from http://polygons.space/neptune/source/templates/admin1/file-manager.html)
19:04:14	163197/163197	---M-Z	200	added ('OK')	application/javascript	etag:%221e80183-27d7d-5cab33f4f2b99-gzip%22	http://polygons.space/neptune/source/assets/plugins/summernote/summernote-lite.min.js	/Users/dp/websites/Neptune/polygons.space/neptune/source/assets/plugins/summernote/summernote-lite.min.js	(from http://polygons.space/neptune/source/templates/admin1/mailbox.html)
19:04:14	12981/12981	---M--	200	added ('OK')	image/jpeg	etag:%221e80149-32b5-5cab33d5dca65%22	http://polygons.space/neptune/source/assets/images/icons/dropbox.jpeg	/Users/dp/websites/Neptune/polygons.space/neptune/source/assets/images/icons/dropbox.jpg	(from http://polygons.space/neptune/source/templates/admin1/file-manager.html)
19:04:31	51968/51968	---M--	200	added ('OK')	image/png	etag:%221e80143-cb00-5cab33d483ad1%22	http://polygons.space/neptune/source/assets/images/icons/onedrive.png	/Users/dp/websites/Neptune/polygons.space/neptune/source/assets/images/icons/onedrive.png	(from http://polygons.space/neptune/source/templates/admin1/file-manager.html)
19:04:34	18515/18515	---M-Z	200	added ('OK')	application/javascript	etag:%221e80212-4853-5cab3421fae61-gzip%22	http://polygons.space/neptune/source/assets/plugins/bootstrap/js/popper.min.js	/Users/dp/websites/Neptune/polygons.space/neptune/source/assets/plugins/bootstrap/js/popper.min.js	(from http://polygons.space/neptune/source/templates/admin1/file-manager.html)
19:04:35	98652/98652	---M--	200	added ('OK')	image/png	etag:%221e80148-1815c-5cab33d604eee%22	http://polygons.space/neptune/source/assets/images/icons/google_drive.png	/Users/dp/websites/Neptune/polygons.space/neptune/source/assets/images/icons/google_drive.png	(from http://polygons.space/neptune/source/templates/admin1/file-manager.html)
19:04:36	25275/25275	---M-Z	200	added ('OK')	text/css	etag:%221e8031e-62bb-5cab3459df9d2-gzip%22	http://polygons.space/neptune/source/assets/plugins/fullcalendar/lib/main.min.css	/Users/dp/websites/Neptune/polygons.space/neptune/source/assets/plugins/fullcalendar/lib/main.min.css	(from http://polygons.space/neptune/source/templates/admin1/calendar.html)
19:04:43	118868/118868	---M-Z	200	added ('OK')	application/javascript	etag:%221e8016e-1d054-5cab33ed95360-gzip%22	http://polygons.space/neptune/source/assets/plugins/highlight/highlight.pack.js	/Users/dp/websites/Neptune/polygons.space/neptune/source/assets/plugins/highlight/highlight.pack.js	(from http://polygons.space/neptune/source/templates/admin1/file-manager.html)
19:04:45	1656/1656	---M-Z	200	added ('OK')	application/javascript	etag:%221e801d8-678-5cab3410306ab-gzip%22	http://polygons.space/neptune/source/assets/js/pages/calendar.js	/Users/dp/websites/Neptune/polygons.space/neptune/source/assets/js/pages/calendar.js	(from http://polygons.space/neptune/source/templates/admin1/calendar.html)
19:04:46	14966/14966	---M-Z	200	added ('OK')	text/css	etag:%221e8034c-3a76-5cab3466885d3-gzip%22	http://polygons.space/neptune/source/assets/plugins/select2/css/select2.min.css	/Users/dp/websites/Neptune/polygons.space/neptune/source/assets/plugins/select2/css/select2.min.css	(from http://polygons.space/neptune/source/templates/admin1/settings.html)
19:04:49	15097/15097	---M--	200	added ('OK')	image/png	etag:%221e80142-3af9-5cab33d459af0%22	http://polygons.space/neptune/source/assets/images/icons/jira_software.png	/Users/dp/websites/Neptune/polygons.space/neptune/source/assets/images/icons/jira_software.png	(from http://polygons.space/neptune/source/templates/admin1/settings.html)
19:04:53	14786/14786	---M--	200	added ('OK')	image/png	etag:%221e80145-39c2-5cab33d4da1a4%22	http://polygons.space/neptune/source/assets/images/icons/confluence.png	/Users/dp/websites/Neptune/polygons.space/neptune/source/assets/images/icons/confluence.png	(from http://polygons.space/neptune/source/templates/admin1/settings.html)
19:04:54	263603/263603	---MCZ	200	added ('OK')	application/javascript	etag:%221e8031d-405b3-5cab345a0a56c-gzip%22	http://polygons.space/neptune/source/assets/plugins/fullcalendar/lib/main.min.js	/Users/dp/websites/Neptune/polygons.space/neptune/source/assets/plugins/fullcalendar/lib/main.min.js	(from http://polygons.space/neptune/source/templates/admin1/calendar.html)
